                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    134,                0.64792,                0.28261,                0.92182,                0.99815,                0.99849,                0.99412,                0.87303,                 0.6308,                 0.2264,                0.92416,               0.005611,               0.005611,               0.005611
                    135,                0.64178,                 0.2818,                0.91802,                0.99812,                0.99868,                0.99412,                  0.873,                0.63052,                0.22638,                0.92399,               0.005578,               0.005578,               0.005578
                    136,                0.64354,                0.28211,                0.91087,                0.99801,                0.99865,                 0.9941,                0.87345,                0.63004,                 0.2262,                0.92341,               0.005545,               0.005545,               0.005545
                    137,                0.64142,                0.28163,                0.91142,                0.99808,                0.99862,                0.99409,                0.87335,                 0.6299,                0.22619,                0.92312,               0.005512,               0.005512,               0.005512
                    138,                0.64431,                0.28407,                 0.9136,                0.99815,                 0.9986,                0.99407,                 0.8732,                0.62969,                0.22593,                0.92284,               0.005479,               0.005479,               0.005479
                    139,                0.64631,                 0.2822,                0.91582,                0.99811,                0.99861,                0.99407,                0.87325,                0.62975,                0.22599,                0.92276,               0.005446,               0.005446,               0.005446
                    140,                0.64352,                0.27958,                0.91696,                0.99791,                0.99874,                0.99411,                0.87334,                0.62979,                0.22592,                0.92291,               0.005413,               0.005413,               0.005413
                    141,                 0.6428,                0.28083,                0.91012,                0.99801,                0.99868,                0.99409,                0.87333,                0.62968,                0.22571,                0.92243,                0.00538,                0.00538,                0.00538
                    142,                0.64376,                0.28231,                0.90519,                0.99821,                0.99859,                 0.9941,                0.87367,                0.62948,                0.22565,                0.92159,               0.005347,               0.005347,               0.005347
                    143,                0.64137,                0.27993,                0.90458,                0.99821,                0.99861,                0.99405,                0.87411,                0.62907,                0.22561,                0.92074,               0.005314,               0.005314,               0.005314
